timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695071498753,97,view books,200,OK,Thread Group 1-2246,text,true,,276,381,1901,1901,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,97,0,0
1695071498762,89,get services,200,OK,Thread Group 1-2099,text,true,,244,323,1901,1901,http://34.159.148.128/api/Service/get?companyId=3,89,0,0
1695071498767,86,get services,200,OK,Thread Group 1-2561,text,true,,244,323,1901,1901,http://34.159.148.128/api/Service/get?companyId=3,86,0,0
1695071498453,403,get services,200,OK,Thread Group 1-1979,text,true,,244,323,1903,1903,http://34.159.148.128/api/Service/get?companyId=3,403,0,0
1695071497451,1406,get services,200,OK,Thread Group 1-1307,text,true,,244,323,1903,1903,http://34.159.148.128/api/Service/get?companyId=3,1406,0,0
1695071498422,435,get services,200,OK,Thread Group 1-1840,text,true,,244,323,1903,1903,http://34.159.148.128/api/Service/get?companyId=3,435,0,0
1695071497632,1225,view available,200,OK,Thread Group 1-1563,text,true,,218,401,1903,1903,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,1225,0,0
1695071497914,944,view block times,200,OK,Thread Group 1-1058,text,true,,218,342,1903,1903,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,944,0,0
1695071497651,1210,login,200,OK,Thread Group 1-2270,text,true,,327,288,1903,1903,http://34.159.148.128/api/Account/login,1210,0,1118
1695071497659,1203,login,200,OK,Thread Group 1-2273,text,true,,327,288,1904,1904,http://34.159.148.128/api/Account/login,1203,0,1110
1695071497612,1254,get services,200,OK,Thread Group 1-1133,text,true,,244,323,1905,1905,http://34.159.148.128/api/Service/get?companyId=3,1254,0,0
1695071498777,89,view books,200,OK,Thread Group 1-975,text,true,,276,381,1905,1905,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,89,0,0
1695071498780,87,view block times,200,OK,Thread Group 1-639,text,true,,218,342,1905,1905,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,87,0,0
1695071496273,2595,login,200,OK,Thread Group 1-1811,text,true,,327,288,1905,1905,http://34.159.148.128/api/Account/login,2595,0,195
1695071498780,88,view available,200,OK,Thread Group 1-1969,text,true,,218,401,1905,1905,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,88,0,0
1695071494804,4066,login,200,OK,Thread Group 1-1321,text,true,,327,288,1905,1905,http://34.159.148.128/api/Account/login,4066,0,3195
1695071497942,931,view available,200,OK,Thread Group 1-1559,text,true,,218,401,1906,1906,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,931,0,0
1695071498274,601,get services,200,OK,Thread Group 1-2009,text,true,,244,323,1907,1907,http://34.159.148.128/api/Service/get?companyId=3,601,0,0
1695071498788,90,get services,200,OK,Thread Group 1-1830,text,true,,244,323,1908,1908,http://34.159.148.128/api/Service/get?companyId=3,90,0,0
1695071497675,1204,login,200,OK,Thread Group 1-2278,text,true,,327,288,1909,1909,http://34.159.148.128/api/Account/login,1204,0,1113
1695071498686,193,login,200,OK,Thread Group 1-2615,text,true,,327,288,1909,1909,http://34.159.148.128/api/Account/login,193,0,103
1695071498790,90,view block times,200,OK,Thread Group 1-1864,text,true,,218,342,1909,1909,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,90,0,0
1695071498791,90,get services,200,OK,Thread Group 1-1569,text,true,,244,323,1908,1908,http://34.159.148.128/api/Service/get?companyId=3,90,0,0
1695071498795,87,view books,200,OK,Thread Group 1-2473,text,true,,276,381,1908,1908,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,87,0,0
